detected,m_VIS_Euclid,log10_mStar,Re_maj,z_source,q_source,n_sersic_source,log_p_gal,source_theta_ell,source_x,source_y,mass_1,mass_2,theta_jn,psi,phase,ra,dec,geocent_time,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,luminosity_distance,pcross,psrc,PdetEM_flag,PdetEM_logL,PdetGW_flag,snr_net,snr_H1,snr_L1,snr_V1,x0_image_positions,x1_image_positions,magnifications,time_delays,image_type,effective_luminosity_distance,effective_geocent_time,effective_phase,effective_ra,effective_dec
False,34.240570068359375,6.028876304626465,0.01491139642894268,5.987946033477783,0.4478948414325714,3.317837953567505,-2.8976141152232824,0.0038582601014392113,-0.02319199842240354,-0.0944985924710289,101.94276236651046,83.62540876343216,1.9409268002297726,1.4094021194548596,4.163138952816857,6.282538166906389,-0.03679816030516924,1250144461.0491314,0.6400957983816884,0.5461279889519365,2.12540060067412,1.7423136268004982,1.8011891153624773,3.3859086942007433,58838.11430248653,-31.646091614034297,10.984386591314644,False,-2003.3603828259684,False,"[1.3902889570729287, 0.4427314888161381]","[0.723421100725294, 0.2889698831117846]","[1.1685850845761798, 0.22732957884996435]","[0.20970025104996398, 0.24663503486652827]","[[-0.14627248188848094, -0.004942865198177469, NaN, NaN]]","[[-0.14418219540811264, 0.04922830787293215, NaN, NaN]]","[[2.143185522641792, -0.3514739740629982, NaN, NaN]]","[[0.0, 1.491542908921557e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[40191.00463279819, 99245.80521315294, NaN, NaN]]","[[1250144461.0491314, 1.4915430339360032e+16, NaN, NaN]]","[[4.163138952816857, 2.592342626021961, NaN, NaN]]","[[6.149449378553052, 6.290874736803162, NaN, NaN]]","[[-0.11665160081417228, 0.0767589024668725, NaN, NaN]]"
False,26.896167755126953,7.923044204711914,0.06979300826787949,2.4980099201202393,0.16383561491966248,7.418579578399658,-7.221276447390396,1.4075723792235246,0.08949711014405168,0.058420933894845324,37.064527019221316,35.06899764967339,1.8039154898032634,1.9914759822194321,2.4128518332059583,2.089267628488468,-0.13151815552337875,1245166490.303701,0.7496443576233324,0.725595402678495,2.2888883537563447,2.819331849880823,1.917867769875361,2.1933914812165822,20864.621508800938,-31.315875678583822,11.022207029512122,True,0.0,False,"[2.1191660100947964, 0.5433694904607091]","[1.6424289278542143, 0.42014509781919707]","[0.9260210098710466, 0.1472394374192769]","[0.9673556143250328, 0.31152696193184115]","[[-0.4484702638497511, 0.23643190170442405, NaN, NaN]]","[[-0.8129405371538084, 0.23762347831416467, NaN, NaN]]","[[5.733175785506078, -1.338793822099541, NaN, NaN]]","[[0.0, 3.171250853007144e+17, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[8713.906224168062, 18032.4053397088, NaN, NaN]]","[[1245166490.303701, 3.171250865458808e+17, NaN, NaN]]","[[2.4128518332059583, 0.8420555064110617, NaN, NaN]]","[[1.7920022899158732, 2.4828708332916767, NaN, NaN]]","[[-0.7572436036800712, 0.2933204117879019, NaN, NaN]]"
False,30.940231323242188,6.373254776000977,0.0969008207321167,4.654074192047119,0.2692185342311859,1.1330105066299438,-2.177560682326728,1.9643666781811975,0.14593344283253365,-0.09879899951345224,58.10813307355955,57.332460844436284,1.4176442045169775,1.9462982586006015,5.434341053365769,5.2842824984122165,0.03891127045393014,1241183916.0830286,0.14481598487780173,0.06178563391704302,2.388590228053956,2.0262450412658395,4.867715247238457,2.4660896844074984,43830.622852692395,-29.769896516521282,12.497400758746226,False,-4901550.0,False,"[0.5145091591465697, 1.1549764679125107, 1.0224949197791953, 0.40884452905889]","[0.20889535587482708, 0.6395060143564011, 0.30022185191554074, 0.08559658313299874]","[0.30150348162146484, 0.9102464166472426, 0.5701028704416025, 0.1789885711591751]","[0.36080196189845537, 0.3105707005087628, 0.7939429562134244, 0.35747750319668803]","[[0.5326571798747124, -0.2795497933005811, 0.08837678097583976, -0.19634496311907318]]","[[-0.20131209527504937, 0.30679109332570287, 0.3558103711479982, -0.20078452929586701]]","[[2.3058599681508913, 4.012440462577042, -2.4809141118458222, -1.1281317742532115]]","[[0.0, 1.2726286177115254e+17, 1.4533424412431568e+17, 2.01823049271376e+17]]","[[1.0, 1.0, 2.0, 2.0]]","[[28864.309816166424, 21881.311137986777, 27827.34532732857, 41266.50860307075]]","[[1241183916.0830286, 1.2726286301233646e+17, 1.453342453654996e+17, 2.018230505125599e+17]]","[[5.434341053365769, 5.434341053365769, 3.863544726570872, 3.863544726570872]]","[[5.74214821706815, 4.92932597975047, 5.297531266271011, 5.01259383936927]]","[[-0.166532314828868, 0.3415708737718842, 0.39059015159417954, -0.16600474884968563]]"
False,30.024324417114258,6.936300277709961,0.04342908412218094,1.8926150798797607,0.36785078048706055,3.532416343688965,-3.0260014623842437,2.0025466436038757,-0.022929218491740462,-0.016374221578942298,36.713914713551326,33.85713830649811,1.5958420107518498,0.9861635892684264,0.297285722157737,5.536039296519547,0.28513332519487294,1261435779.5024462,0.3645474188932582,0.3579425594089438,1.8512438661768422,1.7299436348517463,5.327539918803595,1.731086294123519,14886.528437938488,-41.223031926677834,12.945420157601172,False,-2010.650017275344,False,"[2.266346258306629, 0.16272762987616038]","[1.5479741464625303, 0.09594961984640056]","[1.5552244807659759, 0.1174170048363064]","[0.5669023009745664, 0.059052510122048665]","[[-0.0032544156291953404, 0.00017442791198437363, NaN, NaN]]","[[-0.008681475225773049, 0.0005169940336942502, NaN, NaN]]","[[1.3678091824880145, -0.010211199605870115, NaN, NaN]]","[[0.0, 803578690737454.8, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[12728.601027390132, 147317.74026967346, NaN, NaN]]","[[1261435779.5024462, 803579952173234.2, NaN, NaN]]","[[0.297285722157737, -1.2735106046371596, NaN, NaN]]","[[5.535253518082605, 5.538826628982213, NaN, NaN]]","[[0.2825368707937618, 0.29173534005322904, NaN, NaN]]"
False,29.153593063354492,6.0707106590271,0.05642841011285782,0.6419568657875061,0.15743130445480347,1.230559229850769,-0.19817596637946622,1.0611340588626696,0.014075172535885831,-0.0609337931983991,16.39686369401797,16.351677800641355,1.547689424871661,0.28003506790822047,5.970627988151439,1.0719203283648524,-0.7098741963989579,1267465079.9481575,0.26151134149921546,0.11946833558068991,1.9070323395094426,1.8553573613478345,5.488076705051111,0.03261919374960157,3946.3056383081366,-37.86277413513839,13.780151900976392,False,-2021.2730885578003,False,"[1.4854498279922157, 3.7067397760637055]","[1.1316286503636017, 1.403644102982769]","[0.6733112262581351, 2.687998620214691]","[0.6874807500964102, 2.1317519596187604]","[[-0.026642381201907313, 0.07786522191849672, NaN, NaN]]","[[-0.023115724506200544, 0.23641877883826068, NaN, NaN]]","[[-0.36250366669649653, 1.8147033905155983, NaN, NaN]]","[[0.0, 1.846982607930919e+16, NaN, NaN]]","[[2.0, 1.0, NaN, NaN]]","[[6554.423758660709, 2929.462160600243, NaN, NaN]]","[[1267465079.9481575, 1.846982734677427e+16, NaN, NaN]]","[[4.399831661356543, 5.970627988151439, NaN, NaN]]","[[0.9663603186218017, 1.1041524570217132, NaN, NaN]]","[[-0.8034538472765337, -0.5439193439320724, NaN, NaN]]"
False,31.169429779052734,7.115215301513672,0.046076517552137375,4.130050182342529,0.46960705518722534,0.8686915040016174,-3.4788868852604615,0.0778568958430752,-0.051275652568811794,-0.014798065760265164,136.04885842548416,84.51288046186133,1.554947773008353,1.1928000415623503,4.085711156592536,0.7286720951631727,-0.5019896015349515,1242067297.6105905,0.6839618250661609,0.1018289107265157,1.8070401693251419,2.0820924360632467,4.82627574625238,0.12795693449849896,38073.351962738954,-34.23555873187776,12.904501801448053,False,-2007.540552532586,False,"[1.6535813730790816, 2.7670414171346294, 1.8078239130931475, 1.202518654656385]","[0.8814179317117429, 1.705491479381508, 1.4889751089748327, 0.9745479270183278]","[1.202289559295016, 2.1040663988438815, 0.990744399277263, 0.6795342231714674]","[0.7154953547447326, 0.5663228824192382, 0.26382941630064816, 0.18585126386342515]","[[-0.03945684018627554, 0.05605483963476795, 0.045686510208379334, -0.023131878305238864]]","[[0.057836560499873804, -0.023663454652383085, 0.02676997301230013, -0.030363166619021612]]","[[2.894446309847987, 4.196039593410964, -3.0978304485809245, -1.4109003433504672]]","[[0.0, 883478802708457.0, 1134987672871495.5, 2047175475778105.5]]","[[1.0, 1.0, 2.0, 2.0]]","[[22378.88087843583, 18586.658727339796, 21631.781700051346, 32053.31444612557]]","[[1242067297.6105905, 883480044775754.6, 1134988914938793.0, 2047176717845403.0]]","[[4.085711156592536, 4.085711156592536, 2.5149148297976396, 2.5149148297976396]]","[[0.6821315021039779, 0.7910851211507508, 0.7792575937049891, 0.7007539750944244]]","[[-0.45229466735292034, -0.5337946825051773, -0.483361254840494, -0.5404943944718158]]"
False,28.789960861206055,6.258520126342773,0.07718046754598618,2.383080244064331,0.40572431683540344,0.1652258038520813,-5.366646838958962,1.6331924782271814,-0.04348930795082223,-0.013263173796272662,86.17270929298368,38.00522007642974,1.0030911119724775,2.5626161900050177,3.7218861196832678,2.860568667388771,1.111450379402772,1253932271.8647954,0.783403745450719,0.23988963634328606,2.233439602341085,1.6870996612100932,5.573032000075168,4.229356790722752,19707.853096660154,-34.89909034137979,9.044128308161119,False,-2007.5860405362841,False,"[2.4171899049386, 0.5784547662119228]","[1.5845105464011549, 0.44192525289708096]","[1.292536829537734, 0.32585284642963536]","[1.2889848366715317, 0.1820217291392591]","[[-0.08135392614445255, 0.002647041842434382, NaN, NaN]]","[[-0.06629088446822352, 0.0010132634123271474, NaN, NaN]]","[[1.8026943285268715, -0.06661530249331611, NaN, NaN]]","[[0.0, 1.861815179067488e+16, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[14678.384848626774, 76357.60784144922, NaN, NaN]]","[[1253932271.8647954, 1.861815304460715e+16, NaN, NaN]]","[[3.7218861196832678, 2.151089792888371, NaN, NaN]]","[[2.7722392687253694, 2.9617029081634154, NaN, NaN]]","[[1.0715061729046311, 1.1388103207851819, NaN, NaN]]"
False,32.344364166259766,6.019833087921143,0.08002225309610367,3.031688690185547,0.26903173327445984,0.9281324744224548,-1.756633633678856,0.1725076751555624,-0.05373065258472051,-0.013418509562417344,54.097034396978174,46.293183401311076,0.9441265711536186,0.8876806384457401,1.457339073520855,2.0174003946216175,0.26149996482446514,1244290002.5681956,0.3848667489208166,0.167565407088593,2.402276503378111,1.4249459187143796,5.7707742154327635,3.9893888510140396,26346.076192838384,-38.33651393427844,12.10454429688068,False,-2010.3061667916338,False,"[2.4677436475093923, 1.6936926521066051]","[1.2826561392038482, 1.1914893617541413]","[1.3156145437408175, 1.104525039325254]","[1.6473343044698852, 0.4785105412947147]","[[0.0012159106564339777, 0.003914694959486368, NaN, NaN]]","[[0.011027774722323195, -0.004465109490074469, NaN, NaN]]","[[3.034410349845818, -0.8572239735982878, NaN, NaN]]","[[0.0, 363079227156151.75, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[15124.422051247906, 28455.668272848907, NaN, NaN]]","[[1244290002.5681956, 363080471446154.3, NaN, NaN]]","[[1.457339073520855, -0.11345725327404166, NaN, NaN]]","[[2.02002789982853, 2.022821662914769, NaN, NaN]]","[[0.2702057935516607, 0.254712909339263, NaN, NaN]]"
False,30.129758834838867,6.6460065841674805,0.05549189820885658,2.585170269012451,0.30930274724960327,1.3074367046356201,-0.81698821615959,1.4007013131607355,0.018529811501978313,-0.0696525534455348,49.3119607241302,35.74287131998148,1.1082914921378466,0.4003440815597718,0.14268327359262276,1.3864804008731983,0.7034249567696725,1265638664.1649644,0.7648884746600275,0.1376381032440934,0.44617811321355544,2.0700340419814656,1.796178307602337,5.648751667108379,21747.898134012332,-36.629881187694544,14.486007472484728,False,-2006.941372767497,False,"[1.8986706264139925, 1.5462454737930083]","[1.1157176800913948, 1.3056197645487568]","[1.1986931216267063, 0.630092455012551]","[0.9608636771694521, 0.537787684668652]","[[0.08426310679970643, -0.027134999130886052, NaN, NaN]]","[[0.044867077748796835, -0.024216688904583457, NaN, NaN]]","[[3.0512516192558934, -1.4268278368343759, NaN, NaN]]","[[0.0, 2663066967512191.0, NaN, NaN]]","[[1.0, 2.0, NaN, NaN]]","[[12450.255921495109, 18206.71119706904, NaN, NaN]]","[[1265638664.1649644, 2663068233150855.0, NaN, NaN]]","[[0.14268327359262276, -1.4281130532022739, NaN, NaN]]","[[1.4652430206642417, 1.3191722946253368, NaN, NaN]]","[[0.7324105637008729, 0.6633267970474926, NaN, NaN]]"
False,31.772537231445312,6.107170581817627,0.05236188694834709,1.257468819618225,0.3248889446258545,3.240588903427124,-1.7326505024011691,2.2226708740885304,-0.014176935267141394,0.011298001911672143,23.74887700165483,23.51196476318028,1.095793334164785,1.1060999438089396,5.568058934184674,5.332763347422885,-0.4563532025596972,1252951582.506768,0.16406321137399704,0.2840609735911914,1.2825409751724073,1.976103079613142,5.993515071279642,0.05793616706851879,9007.642533172513,-38.876999856576994,12.329629439663872,False,-2012.6497227602506,False,"[2.3435905025241937, 1.6162610564713924]","[1.8621470851730328, 1.3227266262974968]","[1.3746385453585377, 0.259703838526442]","[0.36768675026133696, 0.8917667806126753]","[[-0.013324617717436364, 0.027258507023999543, NaN, NaN]]","[[0.0003255465668014963, 0.03274481911179016, NaN, NaN]]","[[-1.0278363348906365, 1.6327025961974302, NaN, NaN]]","[[0.0, 1506914779010176.0, NaN, NaN]]","[[2.0, 1.0, NaN, NaN]]","[[8884.830762035719, 7049.488416886637, NaN, NaN]]","[[1252951582.506768, 1506916031961758.5, NaN, NaN]]","[[3.9972626073897777, 5.568058934184674, NaN, NaN]]","[[5.309996278208649, 5.355205906559248, NaN, NaN]]","[[-0.4641697082336475, -0.43175043568865884, NaN, NaN]]"
